uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
K04JF,TV_US,4,70213,0,304343,TX,14.000,24543,40.0,53.0,0.0,0.0,POINT,64.718798,-158.105279,,,,,,,,,CDBS
K13TQ,TV_US,13,62641,0,45049,TX,55.000,20821,30.0,46.0,0.0,0.0,POINT,64.882143,-157.709170,,,,,,,,,CDBS
K04LZ,TV_US,4,62538,0,47020,TX,41.000,20824,270.0,53.0,0.0,0.0,POINT,64.758543,-156.863872,,,,,,,,,CDBS
K10LJ,TV_US,10,11462,0,34895,TX,18.000,20773,270.0,58.0,0.0,0.0,POINT,64.758543,-156.863872,,,,,,,,,CDBS
K09SA,TV_US,9,35449,0,38227,TX,36.000,20776,20.0,11.0,0.0,0.0,POINT,64.930985,-161.158978,,,,,,,,,CDBS
K04LU,TV_US,4,62607,0,44469,TX,41.000,20824,300.0,14.0,0.0,0.0,POINT,65.978784,-161.124921,,,,,,,,,CDBS
K07QX,TV_US,7,62757,0,36029,TX,54.000,20829,60.0,15.0,0.0,0.0,POINT,64.542602,-163.036749,,,,,,,,,CDBS
K03GA,TV_US,3,62583,0,44470,TX,43.000,20823,220.0,13.0,0.0,0.0,POINT,64.616788,-162.258124,,,,,,,,,CDBS
K07QU,TV_US,7,62921,0,35970,TX,54.000,20829,145.0,17.0,0.0,0.0,POINT,64.354298,-161.191980,,,,,,,,,CDBS
K09RC,TV_US,9,62638,0,35959,TX,52.000,20831,175.0,18.0,0.0,0.0,POINT,63.876508,-160.789976,,,,,,,,,CDBS
K04JW,TV_US,4,11573,0,19967,TX,18.000,20773,180.0,14.0,0.0,0.0,POINT,63.876508,-160.789976,,,,,,,,,CDBS
K09QX,TV_US,9,62489,0,35956,TX,254.000,20831,80.0,12.0,0.0,0.0,POINT,63.477870,-162.041072,,,,,,,,,CDBS
K04LE,TV_US,4,62668,0,45046,TX,42.000,20824,340.0,9.0,0.0,0.0,POINT,63.518698,-162.289960,,,,,,,,,CDBS
K09OW,TV_US,9,62519,0,212368,TX,91.000,0,0.0,27.0,13.0,0.0,POINT,64.503400,-165.400369,,,,,,,,,CDBS
K13TD,TV_US,13,62370,0,50618,TX,55.000,20821,200.0,12.0,0.0,0.0,POINT,64.684270,-163.413706,,,,,,,,,CDBS
K04LT,TV_US,4,62666,0,44476,TX,43.000,20824,120.0,11.0,0.0,0.0,POINT,66.075984,-162.721882,,,,,,,,,CDBS
K09RO,TV_US,9,62578,0,35950,TX,53.000,20831,320.0,11.0,0.0,0.0,POINT,65.264509,-166.366566,,,,,,,,,CDBS
K09RZ,TV_US,9,62853,0,35969,TX,53.000,20831,30.0,12.0,0.0,0.0,POINT,66.255111,-166.072225,,,,,,,,,CDBS
K04MN,TV_US,4,62566,0,259797,TX,53.000,20824,165.0,17.0,9.1,0.0,POINT,65.612551,-168.092226,,,,,,,,,CDBS
K03GP,TV_US,3,62486,0,86687,TX,40.000,20823,240.0,14.0,8.0,0.0,POINT,62.531430,-164.849634,,,,,,,,,CDBS
K07SR,TV_US,7,62655,0,53371,TX,55.000,20829,230.0,12.0,0.0,0.0,POINT,61.841695,-165.579027,,,,,,,,,CDBS
K02KX,TV_US,2,62889,0,259789,TX,45.000,20822,240.0,15.6,9.5,0.0,POINT,61.528636,-165.585676,,,,,,,,,CDBS
K09PO,TV_US,9,11438,0,38228,TX,18.000,20773,240.0,29.0,0.0,0.0,POINT,61.528636,-165.585676,,,,,,,,,CDBS
K07QD,TV_US,7,27613,0,34898,TX,18.000,20773,150.0,13.0,0.0,0.0,POINT,61.531406,-166.097337,,,,,,,,,CDBS
K09QR,TV_US,9,62843,0,36008,TX,53.000,20831,63.0,11.0,0.0,0.0,POINT,63.778433,-171.730880,,,,,,,,,CDBS
K07RD,TV_US,7,62831,0,35952,TX,56.000,20829,0.0,15.0,0.0,0.0,POINT,63.695367,-170.478359,,,,,,,,,CDBS
K13UX,TV_US,13,62487,0,86871,TX,50.000,20821,170.0,15.0,6.0,0.0,POINT,65.757534,-168.973674,,,,,,,,,CDBS
K13SH,TV_US,13,62897,0,122886,TX,430.000,20821,20.0,14.0,6.0,0.0,POINT,51.865011,-176.644418,,,,,,,,,CDBS
K04LJ,TV_US,4,62542,0,45173,TX,43.000,20824,70.0,23.0,0.0,0.0,POINT,52.198459,-174.197656,,,,,,,,,CDBS
K09RH,TV_US,9,62745,0,35994,TX,54.000,20831,90.0,18.0,0.0,0.0,POINT,54.134134,-165.773646,,,,,,,,,CDBS
K04KV,TV_US,4,62760,0,35945,TX,49.000,20824,50.0,16.0,0.0,0.0,POINT,53.878026,-166.539115,,,,,,,,,CDBS
K02HO,TV_US,2,62932,0,54375,TX,2000.000,22817,0.0,100.0,0.0,0.0,POINT,53.875803,-166.540782,,,,,,,,,CDBS
K09RK,TV_US,9,62802,0,259810,TX,56.000,20831,70.0,23.0,13.7,0.0,POINT,52.937056,-168.874290,,,,,,,,,CDBS
KPPI-LP,TV_US,7,125202,0,1057395,TX,780.000,69263,22.0,64.5,24.0,0.0,POINT,15.190278,145.716389,,,,,,,,,CDBS
KUAM-TV,TV_US,8,51233,0,1293590,DT,3500.000,84793,0.0,343.0,28.0,304.0,POINT,13.431389,144.710000,,,,,,,,,CDBS
KTKB-LD,TV_US,26,131158,0,1367115,LD,1400.000,97271,0.0,243.0,42.0,0.0,POINT,13.487778,144.826667,,,,,,,,,CDBS
K28HS,TV_US,28,129378,0,1092335,TX,150.000,20717,250.0,40.0,15.0,0.0,POINT,13.487222,144.780556,,,,,,,,,CDBS
K30HB,TV_US,30,129379,0,1092338,TX,150.000,20717,250.0,40.0,15.0,0.0,POINT,13.487222,144.780556,,,,,,,,,CDBS
K32GB,TV_US,32,128911,0,1092342,TX,150.000,20717,250.0,40.0,15.0,0.0,POINT,13.487222,144.780556,,,,,,,,,CDBS
K36GJ,TV_US,36,129386,0,1092330,TX,150.000,20717,250.0,40.0,15.0,0.0,POINT,13.487222,144.780556,,,,,,,,,CDBS
KGTF,TV_US,12,25511,0,1298721,DT,54700.000,84977,0.0,242.0,42.1,177.8,POINT,13.488000,144.827028,,,,,,,,,CDBS
KEQI-LP,TV_US,22,125527,0,1046706,TX,970.000,68388,0.0,220.9,25.9,0.0,POINT,13.488056,144.825000,,,,,,,,,CDBS
KTGM,TV_US,14,29232,0,1298777,DT,12500.000,85491,0.0,231.0,36.0,168.0,POINT,13.488056,144.825000,,,,,,,,,CDBS
K11UU-D,TV_US,11,130292,0,1411955,LD,300.000,102373,0.0,55.9,22.4,0.0,POINT,-14.353889,-170.738333,,,,,,,,,CDBS
KKHJ-LP,TV_US,30,128905,0,1158578,TX,6000.000,71932,0.0,522.0,28.0,0.0,POINT,-14.322500,-170.763056,,,,,,,,,CDBS
K35II-D,TV_US,35,26436,0,1356552,LD,2360.000,20735,320.0,381.0,15.2,0.0,POINT,19.002272,-155.674715,,,,,,,,,CDBS
K31IZ-D,TV_US,31,26439,0,1356547,LD,292.000,20742,315.0,195.2,4.9,0.0,POINT,19.043662,-155.580272,,,,,,,,,CDBS
KHVO,TV_US,13,64544,0,1291508,DT,2000.000,87327,0.0,336.0,73.0,-92.0,POINT,19.713627,-155.134175,,,,,,,,,CDBS
KGMD-TV,TV_US,9,36914,0,1419935,DT,2000.000,93291,0.0,336.0,73.0,31.0,POINT,19.713627,-155.134175,,,,,,,,,CDBS
KHAW-TV,TV_US,11,4146,0,1291203,DT,3350.000,85487,0.0,336.0,73.3,30.5,POINT,19.713627,-155.134175,,,,,,,,,CDBS
KHOH-LP,TV_US,38,130942,0,1169032,TX,32000.000,64275,0.0,549.0,55.0,0.0,POINT,19.580302,-155.121117,,,,,,,,,CDBS
KWHD,TV_US,23,37103,0,1135925,DT,14900.000,72803,0.0,308.7,46.0,33.0,POINT,19.713627,-155.134175,,,,,,,,,CDBS
K34HC,TV_US,34,129389,0,1082401,TX,12500.000,16352,0.0,222.6,22.0,0.0,POINT,19.835566,-155.109176,,,,,,,,,CDBS
K28JM-D,TV_US,28,26442,0,1335994,LD,75.000,20748,45.0,1283.5,5.5,0.0,POINT,19.883060,-155.655278,,,,,,,,,CDBS
K50JT-D,TV_US,50,26422,0,1356550,LD,213.000,94830,0.0,411.5,6.7,0.0,POINT,19.912836,-155.182173,,,,,,,,,CDBS
K28JV-D,TV_US,28,167584,0,1335980,LD,9500.000,20732,240.0,36.8,28.3,0.0,POINT,19.729183,-155.022787,,,,,,,,,CDBS
K45CT,TV_US,45,34446,0,195498,TX,91800.000,16351,80.0,2504.0,14.0,0.0,POINT,19.585297,-155.450001,,,,,,,,,CDBS
K19JW-D,TV_US,19,181318,0,1590239,LD,1000.000,106646,70.0,2500.2,8.2,0.0,POINT,19.585297,-155.450001,,,,,,,,,CDBS
KHBC-TV,TV_US,22,34846,0,601141,DT,8000.000,44792,0.0,46.0,44.2,-170.0,POINT,19.727794,-155.066953,,,,,,,,,CDBS
K41JT-D,TV_US,41,26419,0,1399007,LD,3160.000,101359,210.0,1717.1,38.1,0.0,POINT,19.520081,-155.298946,,,,,,,,,CDBS
K38HU,TV_US,38,130646,0,1082428,TX,9700.000,16352,0.0,1661.5,40.0,0.0,POINT,19.714742,-155.913885,,,,,,,,,CDBS
KLEI-TV,TV_US,25,664,0,1497067,DT,5500.000,106850,0.0,1635.5,30.5,825.0,POINT,19.717798,-155.918329,,,,,,,,,CDBS
K26HL,TV_US,26,126041,0,1169295,TX,5.000,20778,0.0,1629.0,8.0,0.0,POINT,19.718075,-155.915273,,,,,,,,,CDBS
K27DW,TV_US,27,34448,0,182841,TX,52900.000,20042,0.0,2964.0,11.0,0.0,POINT,20.705972,-156.261634,,,,,,,,,CDBS
K17GR,TV_US,17,130910,0,1169296,TX,5.000,20778,330.0,1343.0,8.0,0.0,POINT,20.656810,-156.361074,,,,,,,,,CDBS
K19FV,TV_US,19,129619,0,1192059,TX,40.000,20486,210.0,509.5,20.0,0.0,POINT,20.839295,-156.318852,,,,,,,,,CDBS
KAUI-LP,TV_US,51,52915,0,283781,TX,49400.000,0,0.0,1134.0,37.0,0.0,POINT,20.657088,-156.356630,,,,,,,,,CDBS
KWHM,TV_US,21,37105,0,1284749,DT,23500.000,90085,0.0,1418.0,57.0,755.0,POINT,20.657088,-156.359963,,,,,,,,,CDBS
KMAU,TV_US,12,64551,0,1291467,DT,9000.000,89808,0.0,1410.0,49.0,747.0,POINT,20.657088,-156.359963,,,,,,,,,CDBS
KMEB,TV_US,10,26428,0,1319887,DT,21130.000,89863,0.0,1410.0,49.0,747.0,POINT,20.657088,-156.359963,,,,,,,,,CDBS
KGMV,TV_US,24,36920,0,1290327,DT,77000.000,89870,0.0,1418.0,57.0,755.0,POINT,20.657088,-156.359963,,,,,,,,,CDBS
KAII-TV,TV_US,7,4145,0,1291198,DT,3690.000,89841,0.0,1410.0,49.0,753.0,POINT,20.657088,-156.359963,,,,,,,,,CDBS
KOGG,TV_US,16,34859,0,1291093,DT,50000.000,76827,0.0,1419.9,55.9,818.0,POINT,20.657088,-156.359963,,,,,,,,,CDBS
KITM-LD,TV_US,2,188776,0,1637284,LD,260.000,118167,10.0,769.0,7.0,0.0,POINT,20.775689,-156.325520,,,,,,,,,CDBS
KAAH-TV,TV_US,27,3246,0,1171441,DT,262000.000,45219,0.0,716.0,21.0,580.0,POINT,21.392677,-158.096698,,,,,,,,,CDBS
KALO,TV_US,38,51241,0,1492331,DT,96600.000,107351,0.0,707.3,12.2,577.0,POINT,21.392677,-158.096698,,,,,,,,,CDBS
KUPU,TV_US,15,89714,1,1497051,DD,12000.000,16352,0.0,424.9,32.6,373.0,POINT,21.319886,-157.678647,,,,,,,,,CDBS
KUPU,TV_US,15,89714,0,1497051,DD,49600.000,0,0.0,0.0,0.0,0.0,POINT,21.319886,-157.678647,,,,,,,,,CDBS
KKAI,TV_US,50,83180,1,1514311,DD,12000.000,16352,0.0,424.9,32.6,373.0,POINT,21.319886,-157.678647,,,,,,,,,CDBS
KKAI,TV_US,50,83180,0,1514311,DD,48200.000,0,0.0,0.0,0.0,0.0,POINT,21.327110,-157.753924,,,,,,,,,CDBS
