uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
K29EB,TV_TRANSLATOR,17,55363,0,614954,TX,35900.000,18059,227.0,606.0,146.0,0.0,KEYHOLE,47.339384,-93.396871,121.5,8000,32515,,KQDS-TV,35525,46.793551,-92.117690,CDBS
K39GG,TV_TRANSLATOR,17,127969,0,615476,TX,14300.000,16390,355.0,470.9,100.0,0.0,KEYHOLE,46.534682,-93.837754,77.0,8000,49044,,KQDS-TV,35525,46.793551,-92.117690,CDBS
K49KQ,TV_TRANSLATOR,9,68901,0,1293448,TX,940.000,84911,0.0,448.7,86.0,0.0,KEYHOLE,45.882743,-94.450560,131.0,8000,30922,,KMSP-TV,68883,45.058299,-93.124388,CDBS
K14LF-D,TV_TRANSLATOR,22,68701,0,1357188,LD,475.000,97758,0.0,509.8,144.0,0.0,KEYHOLE,45.166075,-95.043899,93.7,8000,45755,,WUCW,36395,45.062188,-93.139389,CDBS
K17FA-D,TV_TRANSLATOR,40,68697,0,1354222,LD,500.000,93554,0.0,509.8,144.0,0.0,KEYHOLE,45.166075,-95.043899,76.6,8000,13880,,KPXM-TV,35907,45.383299,-93.708579,CDBS
K19IH-D,TV_TRANSLATOR,45,68711,0,1354228,LD,550.000,95988,0.0,509.8,144.0,0.0,KEYHOLE,45.166075,-95.043899,93.7,8000,40720,,KSTC-TV,35843,45.062466,-93.139389,CDBS
K39FE-D,TV_TRANSLATOR,11,68700,0,1354226,LD,650.000,93562,0.0,509.8,144.0,0.0,KEYHOLE,45.166075,-95.043899,93.7,8000,32013,,KARE,23079,45.062188,-93.139389,CDBS
K46AC-D,TV_TRANSLATOR,32,68707,0,1335135,LD,700.000,93565,0.0,509.8,144.0,0.0,KEYHOLE,45.166075,-95.043899,93.7,8000,40303,,WCCO-TV,9629,45.062188,-93.139389,CDBS
K48AH-D,TV_TRANSLATOR,9,68709,0,1354224,LD,550.000,93558,0.0,509.8,144.0,0.0,KEYHOLE,45.166075,-95.043899,93.9,8000,39234,,KMSP-TV,68883,45.058299,-93.124388,CDBS
K50HZ-D,TV_TRANSLATOR,29,68712,0,1354223,LD,540.000,93556,0.0,509.8,144.0,0.0,KEYHOLE,45.166075,-95.043899,93.9,8000,45490,,WFTC,11913,45.058299,-93.124388,CDBS
K16BQ,TV_TRANSLATOR,42,28012,0,113783,TX,15600.000,0,0.0,534.0,147.0,0.0,KEYHOLE,46.321910,-94.165550,-131.1,8000,20782,,KSAX,35584,45.699686,-95.176696,CDBS
K48IF,TV_TRANSLATOR,9,68897,0,686801,TX,1140.000,16237,0.0,524.3,137.2,0.0,KEYHOLE,46.321910,-94.165550,149.6,8000,53073,,KMSP-TV,68883,45.058299,-93.124388,CDBS
K24KT-D,TV_TRANSLATOR,42,36961,0,1564279,LD,3500.000,107875,340.0,576.8,124.1,0.0,KEYHOLE,47.093319,-94.579994,-163.3,8000,79335,,KSAX,35584,45.699686,-95.176696,CDBS
K32FY,TV_TRANSLATOR,42,27999,0,601472,TX,13900.000,20048,0.0,646.0,207.0,0.0,KEYHOLE,46.930792,-95.007797,-174.5,8000,55081,,KSAX,35584,45.699686,-95.176696,CDBS
K49LO-D,TV_TRANSLATOR,12,55348,0,1465976,LD,469.000,23503,0.0,483.4,87.2,0.0,KEYHOLE,47.843568,-95.038886,156.2,8000,5070,,KCCW-TV,9640,46.934681,-94.455548,CDBS
K51LN-D,TV_TRANSLATOR,44,55347,0,1465979,LD,469.000,23503,0.0,483.4,87.2,0.0,KEYHOLE,47.843568,-95.038886,-107.4,8000,77336,,KVLY-TV,61961,47.342205,-97.289256,CDBS
K16JD-D,TV_TRANSLATOR,13,14108,0,1448998,LD,434.000,23503,0.0,553.5,108.5,0.0,KEYHOLE,47.821066,-94.316618,115.0,8000,43389,,WIRT-DT,71336,47.381322,-92.954358,CDBS
K18JM-D,TV_TRANSLATOR,11,14117,0,1449006,LD,434.000,23503,0.0,553.5,108.5,0.0,KEYHOLE,47.821066,-94.316618,87.0,8000,2058,,KRII,82698,47.860757,-92.946287,CDBS
K36KZ-D,TV_TRANSLATOR,13,20364,0,1459070,LD,434.000,23503,0.0,526.1,108.5,0.0,KEYHOLE,47.613286,-94.090498,106.3,8000,17255,,WIRT-DT,71336,47.381322,-92.954358,CDBS
K21KY-D,TV_TRANSLATOR,17,20363,0,1459100,LD,406.000,23503,0.0,562.5,124.2,0.0,KEYHOLE,47.651332,-93.673811,128.4,8000,69960,,KQDS-TV,35525,46.793551,-92.117690,CDBS
K28LN-D,TV_TRANSLATOR,17,50724,0,1491811,LD,497.000,23503,0.0,532.0,78.0,0.0,KEYHOLE,47.977973,-92.830727,157.5,8000,59808,,KQDS-TV,35525,46.793551,-92.117690,CDBS
K32JZ-D,TV_TRANSLATOR,13,14120,0,1435978,LD,100.000,23503,0.0,498.3,78.0,0.0,KEYHOLE,48.361028,-93.010434,177.8,8000,33556,,WIRT-DT,71336,47.381322,-92.954358,CDBS
K49BU-D,TV_TRANSLATOR,13,14102,0,1386387,LD,442.000,93714,125.0,463.8,90.4,0.0,KEYHOLE,48.572933,-93.322787,168.1,8000,62950,,WIRT-DT,71336,47.381322,-92.954358,CDBS
K31MA-D,TV_TRANSLATOR,13,14113,0,1468700,LD,406.000,23503,0.0,452.7,78.7,0.0,KEYHOLE,48.191062,-93.790179,144.9,8000,40749,,WIRT-DT,71336,47.381322,-92.954358,CDBS
K40MU-D,TV_TRANSLATOR,13,14119,0,1450112,LD,406.000,23503,0.0,435.2,89.0,0.0,KEYHOLE,48.484124,-94.007682,146.9,8000,76903,,WIRT-DT,71336,47.381322,-92.954358,CDBS
K42KV-D,TV_TRANSLATOR,11,14104,0,1450115,LD,406.000,23503,0.0,435.2,89.0,0.0,KEYHOLE,48.484124,-94.007682,130.9,8000,3880,,KRII,82698,47.860757,-92.946287,CDBS
K25MW-D,TV_TRANSLATOR,9,36330,0,1502703,LD,730.000,18061,0.0,434.9,95.7,0.0,KEYHOLE,48.670528,-94.573820,176.6,8000,5351,,KAWE,49578,47.700787,-94.487465,CDBS
W32EG-D,TV_TRANSLATOR,9,36333,0,1502786,LD,730.000,18061,0.0,429.5,95.7,0.0,KEYHOLE,48.863597,-94.973279,164.2,8000,31227,,KAWE,49578,47.700787,-94.487465,CDBS
K38OC-D,TV_TRANSLATOR,9,57687,0,1534596,LD,1170.000,106502,0.0,440.0,121.8,0.0,KEYHOLE,48.852759,-95.770822,142.9,8000,56681,,KAWE,49578,47.700787,-94.487465,CDBS
K48CQ-D,TV_TRANSLATOR,8,57690,0,1386291,LD,1170.000,18061,160.0,440.0,121.8,0.0,KEYHOLE,48.852759,-95.770822,-115.0,8000,70132,,WDAZ-TV,22124,48.138328,-97.993431,CDBS
K49FA-D,TV_TRANSLATOR,10,71562,0,1455762,LD,15000.000,95699,0.0,613.0,136.9,0.0,KEYHOLE,46.479959,-96.029500,179.1,8000,35935,,KWCM-TV,71549,45.167461,-96.000876,CDBS
K42FI,TV_TRANSLATOR,47,129133,0,997778,TX,10000.000,65864,0.0,645.8,120.0,0.0,KEYHOLE,44.871076,-97.109795,163.6,8000,36288,,KDLT-TV,55379,43.504975,-96.556433,CDBS
